time,n1,n2,weight
1988,Italy,Japan,3498.0
1988,China,India,98.0
1988,Japan,United Stat,42267.0
1988,Brazil,China,104.0
1988,China,Spain,319.0
1988,Russia,Japan,3444.0
1988,Italy,India,462.0
1988,United Stat,India,3153.0
1988,Russia,Brazil,257.0
1988,Russia,France,2132.0
1988,Japan,France,4313.0
1988,Japan,India,1806.0
1988,United Stat,France,12839.0
1988,China,Russia,1802.0
1988,France,China,1441.0
1988,China,United Stat,6633.0
1988,India,Brazil,281.0
1988,Italy,China,1428.0
1988,United Stat,Brazil,9960.0
1988,Brazil,France,676.0
1988,Italy,Russia,3135.0
1988,Brazil,Russia,35.0
1988,Italy,United Stat,7715.0
1988,Spain,Japan,3103.0
1988,France,Japan,7388.0
1988,Japan,China,9861.0
1988,India,Spain,147.0
1988,Spain,Russia,1108.0
1988,United Stat,Spain,3476.0
1988,Spain,United Stat,5404.0
1988,United Stat,Russia,651.0
1988,Spain,France,8179.0
1988,Japan,Spain,632.0
1988,India,Russia,1229.0
1988,Spain,India,127.0
1988,India,United Stat,1856.0
1988,Brazil,India,12.0
1988,France,Spain,7458.0
1988,France,United Stat,13671.0
1988,Russia,United Stat,3033.0
1988,Brazil,United Stat,3681.0
1988,Russia,China,1623.0
1988,Japan,Brazil,2953.0
1988,Japan,Russia,2772.0
1988,India,Japan,1874.0
1988,Brazil,Spain,108.0
1988,United Stat,China,9261.0
1988,China,Brazil,797.0
1988,France,Russia,2810.0
1988,China,Japan,11062.0
1988,France,Brazil,1600.0
1988,Russia,Spain,295.0
1988,France,Italy,20585.0
1988,Spain,Italy,5816.0
1988,India,China,123.0
1988,Brazil,Italy,344.0
1988,Japan,Italy,2893.0
1988,Italy,France,20618.0
1988,France,India,421.0
1988,India,Italy,422.0
1988,United Stat,Japan,93128.0
1988,China,France,987.0
1988,Spain,Brazil,939.0
1988,Italy,Spain,3373.0
1989,Brazil,Spain,140.0
1989,Spain,United Stat,6443.0
1989,Russia,India,2574.0
1989,France,Italy,21911.0
1989,Italy,Brazil,2102.0
1989,China,Italy,1835.0
1989,Brazil,Italy,515.0
1989,Spain,Russia,1292.0
1989,Russia,United Stat,4698.0
1989,France,Spain,8403.0
1989,United Stat,Brazil,9001.0
1989,France,India,470.0
1989,United Stat,Russia,785.0
1989,India,France,490.0
1989,Spain,Italy,7054.0
1989,India,Brazil,216.0
1989,United Stat,Japan,97110.0
1989,France,United Stat,14641.0
1989,United Stat,India,3551.0
1989,Japan,Italy,3786.0
1989,United Stat,China,12901.0
1989,Spain,Brazil,940.0
1989,France,China,1720.0
1989,Russia,Italy,2842.0
1989,Japan,India,1963.0
1989,India,Italy,563.0
1989,Italy,China,1683.0
1989,China,India,102.0
1989,Japan,Spain,684.0
1989,Russia,France,1893.0
1989,Russia,Japan,3376.0
1989,Brazil,France,623.0
1989,France,Russia,2621.0
1989,Italy,India,524.0
1989,France,Brazil,1704.0
1989,India,United Stat,2310.0
1989,Italy,United Stat,8332.0
1989,China,Brazil,940.0
1989,Italy,Spain,3714.0
1989,Italy,France,22495.0
1989,Italy,Russia,3601.0
1989,India,Russia,1157.0
1989,Japan,China,11083.0
1989,China,United Stat,7864.0
1989,China,France,1420.0
1989,Brazil,Japan,1455.0
1989,Spain,China,528.0
1989,Spain,Japan,3392.0
1989,Russia,Spain,467.0
1989,India,Japan,1494.0
1989,France,Japan,7849.0
1989,Spain,France,9775.0
1989,China,Spain,340.0
1989,India,China,39.0
1989,Japan,Brazil,2978.0
1989,Japan,France,5526.0
1989,Brazil,Russia,46.0
1989,Japan,United Stat,48253.0
1989,United Stat,Spain,3586.0
1989,Japan,Russia,2990.0
1989,United Stat,Italy,12725.0
1989,Brazil,India,33.0
1989,Russia,China,1869.0
1989,Russia,Brazil,335.0
1989,Spain,India,186.0
1989,Brazil,United Stat,4605.0
1989,Italy,Japan,3526.0
1989,India,Spain,117.0
1989,United Stat,France,13512.0
1989,Brazil,China,134.0
1989,China,Russia,2147.0
1989,China,Japan,10534.0
1990,Brazil,Japan,1773.0
1990,Russia,United Stat,3396.0
1990,India,Japan,1801.0
1990,France,Brazil,1736.0
1990,United Stat,Italy,13395.0
1990,India,Italy,569.0
1990,Spain,Brazil,967.0
1990,France,Spain,10967.0
1990,Italy,Brazil,1993.0
1990,United Stat,France,13594.0
1990,Spain,France,12854.0
1990,United Stat,India,3421.0
1990,Italy,India,666.0
1990,India,China,31.0
1990,Brazil,Spain,264.0
1990,Spain,Italy,8891.0
1990,France,Japan,9338.0
1990,Russia,India,3154.0
1990,India,Brazil,227.0
1990,India,Spain,111.0
1990,United Stat,China,16296.0
1990,United Stat,Brazil,8586.0
1990,China,Brazil,514.0
1990,Brazil,Italy,805.0
1990,Spain,China,745.0
1990,Japan,India,2075.0
1990,Japan,France,7613.0
1990,Japan,China,12057.0
1990,Japan,Spain,907.0
1990,Brazil,India,20.0
1990,India,Russia,1322.0
1990,China,Italy,1087.0
1990,Spain,India,298.0
1990,Japan,Russia,3370.0
1990,China,Japan,7656.0
1990,Russia,Spain,414.0
1990,Russia,Japan,2819.0
1990,Italy,Spain,5585.0
1990,Brazil,France,699.0
1990,Italy,United Stat,9254.0
1990,Spain,Russia,1322.0
1990,Russia,France,1645.0
1990,France,India,661.0
1990,China,France,1674.0
1990,Brazil,United Stat,4956.0
1990,United Stat,Russia,1168.0
1990,France,Russia,3370.0
1990,Russia,Italy,2921.0
1990,Italy,Japan,4231.0
1990,India,United Stat,2635.0
1990,Spain,United Stat,7269.0
1990,Japan,Italy,5024.0
1990,Brazil,China,224.0
1990,Brazil,Russia,142.0
1990,Spain,Japan,3890.0
1990,Russia,Brazil,229.0
1990,France,United Stat,18956.0
1990,Italy,China,1830.0
1990,France,China,2213.0
1990,China,India,97.0
1990,Italy,France,25859.0
1990,United Stat,Japan,93070.0
1990,India,France,718.0
1990,China,Russia,2213.0
1990,China,Spain,325.0
1990,Japan,United Stat,52842.0
1990,France,Italy,26894.0
1990,Russia,China,2253.0
1990,Italy,Russia,4122.0
1990,United Stat,Spain,3546.0
1990,China,United Stat,6591.0
1990,Japan,Brazil,3187.0
1991,India,Germany,1551.0
1991,United Stat,China,20305.0
1991,Japan,Spain,815.0
1991,Germany,Spain,10541.0
1991,Italy,Germany,38180.0
1991,Brazil,Spain,267.0
1991,Brazil,Italy,930.0
1991,Brazil,France,717.0
1991,Russia,Germany,12179.0
1991,China,Brazil,346.0
1991,United Stat,Russia,915.0
1991,Germany,Japan,23895.0
1991,Italy,Russia,4510.0
1991,France,Spain,11880.0
1991,United Stat,France,13811.0
1991,Spain,China,1149.0
1991,Spain,Russia,746.0
1991,Russia,Brazil,95.0
1991,India,Brazil,195.0
1991,China,Germany,3049.0
1991,Germany,Russia,8819.0
1991,Brazil,India,26.0
1991,Brazil,Japan,1485.0
1991,Germany,India,1681.0
1991,India,China,21.0
1991,Italy,United Stat,10196.0
1991,United Stat,Italy,12341.0
1991,France,Brazil,1686.0
1991,Russia,India,1806.0
1991,China,Russia,2081.0
1991,China,India,120.0
1991,France,Japan,9494.0
1991,United Stat,Japan,95010.0
1991,India,Russia,520.0
1991,Spain,United Stat,7409.0
1991,Spain,India,298.0
1991,Russia,Japan,2329.0
1991,Italy,Japan,4462.0
1991,India,Spain,66.0
1991,Germany,China,6986.0
1991,Italy,China,2275.0
1991,Spain,Germany,15112.0
1991,Spain,Brazil,903.0
1991,Japan,Russia,3318.0
1991,France,Germany,41045.0
1991,Spain,Japan,4372.0
1991,Japan,Brazil,3189.0
1991,United Stat,Brazil,7232.0
1991,Brazil,Russia,158.0
1991,Russia,Italy,2656.0
1991,Russia,United Stat,3935.0
1991,Japan,France,5816.0
1991,Russia,China,2006.0
1991,Russia,France,1604.0
1991,Italy,Spain,6419.0
1991,France,Italy,25207.0
1991,China,United Stat,8010.0
1991,Japan,China,14248.0
